"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 00:00","2020","02","01","00:00","-1.0","","-3.1","","86","","0.0","","29","","5","","16.1","","101.08","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 01:00","2020","02","01","01:00","-1.2","","-3.4","","85","","0.0","","31","","8","","16.1","","101.04","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 02:00","2020","02","01","02:00","-1.2","","-3.4","","85","","0.0","","31","","5","","16.1","","100.98","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 03:00","2020","02","01","03:00","-1.9","","-3.6","","88","","0.0","","29","","4","","14.5","","100.95","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 04:00","2020","02","01","04:00","-1.3","","-3.3","","86","","0.0","","28","","8","","14.5","","100.92","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 05:00","2020","02","01","05:00","-1.1","","-3.8","","82","","0.0","","30","","4","","16.1","","100.86","","","","-2","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 06:00","2020","02","01","06:00","-1.1","","-3.9","","81","","0.0","","27","","8","","16.1","","100.81","","","","-4","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 07:00","2020","02","01","07:00","-0.9","","-3.6","","82","","0.0","","22","","9","","16.1","","100.77","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 08:00","2020","02","01","08:00","-0.6","","-3.2","","83","","0.0","","23","","9","","16.1","","100.75","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 09:00","2020","02","01","09:00","-0.2","","-2.9","","82","","0.0","","24","","11","","16.1","","100.69","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 10:00","2020","02","01","10:00","-0.2","","-2.9","","82","","0.0","","24","","13","","14.5","","100.65","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 11:00","2020","02","01","11:00","0.0","","-2.9","","81","","0.0","","24","","9","","11.3","","100.58","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 12:00","2020","02","01","12:00","0.3","","-3.1","","78","","0.0","","23","","11","","14.5","","100.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 13:00","2020","02","01","13:00","0.5","","-2.8","","79","","0.0","","21","","15","","14.5","","100.34","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 14:00","2020","02","01","14:00","1.0","","-3.0","","75","","0.0","","20","","17","","16.1","","100.18","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 15:00","2020","02","01","15:00","0.6","","-4.4","","70","","0.0","","20","","18","","16.1","","100.08","","","","","","Rain,Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 16:00","2020","02","01","16:00","-0.1","","-2.6","","83","","0.0","","20","","13","","4.8","","100.01","","","","-4","","Snow"
